UID          PID    PPID  C STIME TTY          TIME CMD
ec2-user    6153    6149  0 12:19 ?        00:00:00 (sd-pam)
ec2-user    6160    6141  0 12:19 ?        00:00:00 sshd: ec2-user@pts/0
ec2-user    6161    6160  0 12:19 pts/0    00:00:00 -bash
ec2-user    6548    6161  0 12:32 pts/0    00:00:00 /usr/bin/vim exercise.sh
ec2-user    6549    6161  0 12:32 pts/0    00:00:00 awk -F [:/] /linux/ {print $3}
ec2-user    6551    6161  0 12:32 pts/0    00:00:00 awk -F [:/] /linux/ {print $3}
root        9782       2  0 14:40 ?        00:00:00 [kworker/0:2-cgroup_destroy]
root        9837       2  0 14:41 ?        00:00:00 [kworker/u30:0-events_unbound]
ec2-user   10105    6161  0 14:52 pts/0    00:00:00 awk { x=$a;y=$b; print "sum="x+y}
ec2-user   10106    6161  0 14:52 pts/0    00:00:00 awk { x=$1;y=$2; print "sum="x+y}
root       10510       2  0 14:59 ?        00:00:00 [kworker/u30:1-events_unbound]
root       10512       2  0 15:00 ?        00:00:00 [kworker/0:1-events]
root       10577    6144  0 15:03 ?        00:00:00 systemd-userwork: waiting...
root       10578    6144  0 15:03 ?        00:00:00 systemd-userwork: waiting...
root       10625    6144  0 15:03 ?        00:00:00 systemd-userwork: waiting...
root       10672       2  0 15:05 ?        00:00:00 [kworker/0:0-cgroup_destroy]
ec2-user   10723    6161  0 15:07 pts/0    00:00:00 ps -ef
